Activity Date,Transaction,Description,Symbol,Qty,Fill Price,Commission,Net Amount
12/31/2013,,Cash Dividend,DVN,,,,66
12/30/2013,Sell To Open,EMC 3 Jan 14 (W) 25.00 Put,EMC,-3,0.18,5,49
12/30/2013,Sell To Open,AXP 3 Jan 14 (W) 89.00 Put,AXP,-2,0.43,5,81
12/30/2013,Sell To Open,EMC 3 Jan 14 (W) 25.00 Put,EMC,-6,0.19,4,110
12/30/2013,Sell To Open,EMC 3 Jan 14 (W) 25.00 Put,EMC,-3,0.19,5,52
12/27/2013,OPTASS,SLB 27 Dec 13 (W) 89.00 Call,SLB,3,,,0
12/27/2013,Buy To Close,SLB 27 Dec 13 (W) 89.00 Call,SLB,3,0,,0
12/27/2013,Sell To Open,SLB Stock,SLB,-300,89,5,26695
12/23/2013,Sell To Open,MRVL 3 Jan 14 (W) 14.00 Call,MRVL,-2,0.13,2,24
12/23/2013,Sell To Open,MRVL 3 Jan 14 (W) 14.00 Call,MRVL,-7,0.13,7,84
12/23/2013,Sell To Open,MRVL 3 Jan 14 (W) 14.00 Call,MRVL,-7,0.13,7,84
12/23/2013,Sell To Open,CSCO 27 Dec 13 (W) 21.50 Put,CSCO,-6,0.27,4,158
12/23/2013,Sell To Open,CSCO 27 Dec 13 (W) 21.50 Put,CSCO,-3,0.27,5,76
12/23/2013,Sell To Open,OXY 3 Jan 14 (W) 96.00 Call,OXY,-2,0.4,5,75
12/23/2013,,Cash Dividend,MRVL,,,,96
12/20/2013,OPTASS,DVN Dec 13 60.50 Call,DVN,3,,,0
12/20/2013,Buy To Close,DVN Dec 13 60.50 Call,DVN,3,0,,0
12/20/2013,Sell To Open,DVN Stock,DVN,-300,60.5,5,18145
12/16/2013,Sell To Open,SLB 27 Dec 13 (W) 89.00 Call,SLB,-3,0.5,5,145
12/16/2013,Sell To Open,DVN Dec 13 60.50 Call,DVN,-3,0.41,5,118
12/16/2013,Sell To Open,MRVL Dec 13 14.00 Call,MRVL,-16,0.21,16,320
12/16/2013,,Cash Dividend,IP,,,,175
12/13/2013,,Cash Dividend,MET,,,,27.5
12/9/2013,Sell To Open,MRVL 13 Dec 13 (W) 14.00 Call,MRVL,-14,0.07,14,84
12/9/2013,Sell To Open,DVN 13 Dec 13 (W) 61.00 Call,DVN,-3,0.45,5,130
12/6/2013,OPTASS,MRVL 6 Dec 13 (W) 14.00 Put,MRVL,16,,,0
12/6/2013,OPTASS,DVN 6 Dec 13 (W) 60.50 Put,DVN,3,,,0
12/6/2013,Buy To Close,MRVL 6 Dec 13 (W) 14.00 Put,MRVL,16,0,,0
12/6/2013,Buy To Close,DVN 6 Dec 13 (W) 60.50 Put,DVN,3,0,,0
12/6/2013,Buy To Open,MRVL Stock,MRVL,1600,14,5,-22405
12/6/2013,Buy To Open,DVN Stock,DVN,300,60.5,5,-18155
12/4/2013,Sell To Open,OXY 13 Dec 13 (W) 98.00 Call,OXY,-2,0.34,5,63
12/4/2013,Sell To Open,SLB 13 Dec 13 (W) 91.00 Call,SLB,-3,0.18,5,49
12/2/2013,Sell To Open,MRVL 6 Dec 13 (W) 14.00 Put,MRVL,-16,0.11,16,160
12/2/2013,Sell To Open,DVN 6 Dec 13 (W) 60.50 Put,DVN,-3,0.62,5,181
12/2/2013,,Cash Dividend,INTC,,,,202.5
12/2/2013,,Money Market Dividends Paid,,,,,0.59
11/29/2013,OPTASS,SLB 29 Nov 13 (W) 91.00 Put,SLB,3,,,0
11/29/2013,OPTASS,OXY 29 Nov 13 (W) 98.00 Put,OXY,2,,,0
11/29/2013,Buy To Close,SLB 29 Nov 13 (W) 91.00 Put,SLB,3,0,,0
11/29/2013,Buy To Close,OXY 29 Nov 13 (W) 98.00 Put,OXY,2,0,,0
11/29/2013,Buy To Open,OXY Stock,OXY,200,98,5,-19605
11/29/2013,Buy To Open,SLB Stock,SLB,300,91,5,-27305
11/25/2013,Sell To Open,SLB 29 Nov 13 (W) 91.00 Put,SLB,-3,0.65,5,190
11/25/2013,Sell To Open,COH 29 Nov 13 (W) 54.00 Put,COH,-2,0.36,0,72
11/25/2013,Sell To Open,COH 29 Nov 13 (W) 54.00 Put,COH,-2,0.36,5,67
11/25/2013,Sell To Open,MOS 29 Nov 13 (W) 47.50 Put,MOS,-4,0.52,5,203
11/25/2013,Sell To Open,OXY 29 Nov 13 (W) 98.00 Put,OXY,-2,0.74,5,143
11/18/2013,Sell To Open,KO 22 Nov 13 (W) 40.00 Put,KO,-5,0.23,5,110
11/18/2013,Sell To Open,VLO 22 Nov 13 (W) 43.00 Put,VLO,-5,0.57,5,280
11/18/2013,Sell To Open,QCOM 22 Nov 13 (W) 72.00 Put,QCOM,-3,0.69,5,202
11/18/2013,Sell To Open,MCD 22 Nov 13 (W) 97.00 Put,MCD,-2,0.55,5,105
11/15/2013,OPTASS,IP Nov 13 44.50 Call,IP,5,,,0
11/15/2013,OPTASS,INTC Nov 13 24.50 Call,INTC,9,,,0
11/15/2013,Buy To Close,IP Nov 13 44.50 Call,IP,5,0,,0
11/15/2013,Buy To Close,INTC Nov 13 24.50 Call,INTC,9,0,,0
11/15/2013,Sell To Open,IP Stock,IP,-500,44.5,5,22245
11/15/2013,Sell To Open,INTC Stock,INTC,-900,24.5,5,22045
11/11/2013,Sell To Open,MAIN Nov 13 30.00 Put,MAIN,-7,0.15,7,98
11/11/2013,Sell To Open,INTC Nov 13 24.50 Call,INTC,-6,0.1,4,56
11/11/2013,Sell To Open,INTC Nov 13 24.50 Call,INTC,-3,0.1,5,25
11/11/2013,Sell To Open,MCHP Nov 13 43.00 Put,MCHP,-5,0.45,5,220
11/11/2013,Sell To Open,IP Nov 13 44.50 Call,IP,-5,0.19,5,90
11/8/2013,OPTASS,MET 8 Nov 13 (W) 47.50 Call,MET,1,,,0
11/8/2013,OPTASS,IP 8 Nov 13 (W) 44.00 Put,IP,5,,,0
11/8/2013,Buy To Close,MET 8 Nov 13 (W) 47.50 Call,MET,1,0,,0
11/8/2013,Buy To Close,IP 8 Nov 13 (W) 44.00 Put,IP,5,0,,0
11/8/2013,Buy To Open,IP Stock,IP,500,44,5,-22005
11/8/2013,Sell To Open,MET Stock,MET,-100,47.5,5,4745
11/5/2013,Sell To Open,DD 8 Nov 13 (W) 60.00 Put,DD,-3,0.41,5,118
11/5/2013,Sell To Open,IP 8 Nov 13 (W) 44.00 Put,IP,-1,0.31,0,31
11/5/2013,Sell To Open,IP 8 Nov 13 (W) 44.00 Put,IP,-1,0.31,0,31
11/5/2013,Sell To Open,IP 8 Nov 13 (W) 44.00 Put,IP,-1,0.31,0,31
11/5/2013,Sell To Open,IP 8 Nov 13 (W) 44.00 Put,IP,-2,0.31,5,57
11/5/2013,Buy To Close,MET 8 Nov 13 (W) 47.50 Call,MET,4,0,,0
11/5/2013,Sell To Open,MET Stock,MET,-400,47.5,5,18995
11/5/2013,OPTASS,MET 8 Nov 13 (W) 47.50 Call,MET,4,,,0
